id,street_id,ward_id,district_id,city_id,country_id,full_address,created_at,updated_at,tsv
2674888,10074,2991,207,18,1,"Đường Lý Tự Trọng, Phường Thới Bình, Quận Ninh Kiều, Thành phố Cần Thơ",2018-06-20 12:04:38,2018-06-20 12:04:38,binh':7A 'duong':1A 'kieu':10A 'ly':2A 'ninh':9A 'pho':12A 'phuong':5A 'quan':8A 'thanh':11A 'tho':14A 'thoi':6A 'trong':4A 'tu':3A
2674889,3928,484,33,2,1,"đường Cầu Vượt Phú Thị, Xã Đa Tốn, Huyện Gia Lâm, Thành phố Hà Nội",2018-06-20 12:05:06,2018-06-20 12:05:06,cau':2A 'da':7A 'duong':1A 'gia':10A 'ha':14A 'huyen':9A 'lam':11A 'noi':15A 'pho':13A 'phu':4A 'thanh':12A 'thi':5A 'ton':8A 'vuot':3A 'xa':6A
2674895,62,44,,6,1,"Đường Mai Bá Hương, Phường 5, Tỉnh Long An",2018-06-20 12:07:25,2018-06-20 12:07:25,5':6A 'ba':3A 'duong':1A 'huong':4A 'long':8A 'mai':2A 'phuong':5A 'tinh':7A
2674896,6604,1044,68,4,1,"Đường Sư Vạn Hạnh, Phường Hòa Quý, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",2018-06-20 12:07:29,2018-06-20 12:07:29,"da':14A 'duong':1A 'hanh':4A,10A 'hoa':6A 'nang':15A 'ngu':9A 'pho':13A 'phuong':5A 'quan':8A 'quy':7A 'son':11A 'su':2A 'thanh':12A 'van':3A"
2674898,1013,123,9,1,1,"Đường Chiến Thắng, Phường 8, Quận Phú Nhuận, Thành phố Hồ Chí Minh",2018-06-20 12:09:27,2018-06-20 12:09:27,8':5A 'chi':12A 'chien':2A 'duong':1A 'ho':11A 'minh':13A 'nhuan':8A 'pho':10A 'phu':7A 'phuong':4A 'quan':6A 'thang':3A 'thanh':9A
2674955,13626,7817,512,46,1,"Đường Trần Hưng Đạo, Xã Đức Ninh, Thành phố Đồng Hới, Tỉnh Quảng Bình",2018-06-20 16:23:56,2018-06-20 16:23:56,binh':14A 'dao':4A 'dong':10A 'duc':6A 'duong':1A 'hoi':11A 'hung':3A 'ninh':7A 'pho':9A 'quang':13A 'thanh':8A 'tinh':12A 'tran':2A 'xa':5A
2674842,11746,,372,33,1,"Đường Bế Văn Đàn, Thành phố Nha Trang, Tỉnh Khánh Hòa",2018-06-11 18:27:35,2018-06-11 18:27:35,dan':4A 'duong':1A 'hoa':11A 'khanh':10A 'nha':7A 'pho':6A 'thanh':5A 'tinh':9A 'trang':8A 'van':3A
2674887,2584,233,18,1,1,"Đường S1, Phường Hòa Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",2018-06-20 12:04:18,2018-06-20 12:04:18,"chi':12A 'duong':1A 'ho':11A 'hoa':4A 'minh':13A 'pho':10A 'phu':8A 'phuong':3A 'quan':6A 's1':2A 'tan':7A 'thanh':5A,9A"
2674951,1189,130,10,1,1,"Đường Nguyễn Thành Ý, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",2018-06-20 15:20:19,2018-06-20 15:20:19,"1':10A 'chi':14A 'duong':1A 'ho':13A 'lao':8A 'minh':15A 'ngu':7A 'nguyen':2A 'pham':6A 'pho':12A 'phuong':5A 'quan':9A 'thanh':3A,11A 'y':4A"
2674952,107,7,1,1,1,"Đường Trương Văn Đa, Xã Lê Minh Xuân, Huyện Bình Chánh, Thành phố Hồ Chí Minh",2018-06-20 15:21:59,2018-06-20 15:21:59,"binh':10A 'chanh':11A 'chi':15A 'da':4A 'duong':1A 'ho':14A 'huyen':9A 'le':6A 'minh':7A,16A 'pho':13A 'thanh':12A 'truong':2A 'van':3A 'xa':5A 'xuan':8A"
2674963,3040,292,22,1,1,"Đường Trần Văn Khánh, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh",2018-06-20 16:56:01,2018-06-20 16:56:01,7':9A 'chi':13A 'duong':1A 'ho':12A 'khanh':4A 'minh':14A 'pho':11A 'phu':7A 'phuong':5A 'quan':8A 'tan':6A 'thanh':10A 'tran':2A 'van':3A
2675085,5607,1002,62,3,1,"Đường Thuận An Hòa, Phường Hưng Định, Thị xã Thuận An, Tỉnh Bình Dương",2018-06-21 15:10:31,2018-06-21 15:10:31,"binh':13A 'dinh':7A 'duong':1A,14A 'hoa':4A 'hung':6A 'phuong':5A 'thi':8A 'thuan':2A,10A 'tinh':12A 'xa':9A"
2674843,661,70,5,1,1,"Đường Võ Văn Bích, Xã An Phú, Huyện Củ Chi, Thành phố Hồ Chí Minh",2018-06-12 2:53:51,2018-06-12 2:53:51,"bich':4A 'chi':10A,14A 'cu':9A 'duong':1A 'ho':13A 'huyen':8A 'minh':15A 'pho':12A 'phu':7A 'thanh':11A 'van':3A 'vo':2A 'xa':5A"
2674848,5268,977,60,3,1,"Đường Dân Chủ, Phường Thạnh Phước, Thị xã Tân Uyên, Tỉnh Bình Dương",2018-06-12 8:02:13,2018-06-12 8:02:13,"binh':12A 'chu':3A 'dan':2A 'duong':1A,13A 'phuoc':6A 'phuong':4A 'tan':9A 'thanh':5A 'thi':7A 'tinh':11A 'uyen':10A 'xa':8A"
2674850,10716,3708,263,23,1,"Đường Nguyễn Ái Quốc, Xã Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai",2018-06-12 8:45:35,2018-06-12 8:45:35,ai':3A 'dong':12A 'duong':1A 'hiep':6A 'huyen':8A 'nai':13A 'nguyen':2A 'nhon':9A 'phuoc':7A 'quoc':4A 'tinh':11A 'trach':10A 'xa':5A
2674852,2980,286,22,1,1,"Đường Cao Triều Phát, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh",2018-06-13 2:19:19,2018-06-13 2:19:19,7':9A 'cao':2A 'chi':13A 'duong':1A 'ho':12A 'hung':7A 'minh':14A 'phat':4A 'pho':11A 'phuong':5A 'quan':8A 'tan':6A 'thanh':10A 'trieu':3A
2674879,2095,223,17,1,1,"Đường Hậu Giang, Phường 15, Quận Tân Bình, Thành phố Hồ Chí Minh",2018-06-17 7:01:51,2018-06-17 7:01:51,15':5A 'binh':8A 'chi':12A 'duong':1A 'giang':3A 'hau':2A 'ho':11A 'minh':13A 'pho':10A 'phuong':4A 'quan':6A 'tan':7A 'thanh':9A
2674890,7884,1493,102,7,1,"Đường Huỳnh Tấn Phát, Phường Phước Trung, Thành phố Bà Rịa, Tỉnh Bà Rịa Vũng Tàu",2018-06-20 12:05:15,2018-06-20 12:05:15,"ba':10A,13A 'duong':1A 'huynh':2A 'phat':4A 'pho':9A 'phuoc':6A 'phuong':5A 'ria':11A,14A 'tan':3A 'tau':16A 'thanh':8A 'tinh':12A 'trung':7A 'vung':15A"
2674892,16904,11009,701,62,1,"Phố Tôn Đức Thắng, Xã Thanh Trù, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc",2018-06-20 12:06:20,2018-06-20 12:06:20,"duc':3A 'pho':1A,9A 'phuc':14A 'thang':4A 'thanh':6A,8A 'tinh':12A 'ton':2A 'tru':7A 'vinh':10A,13A 'xa':5A 'yen':11A"
2674894,1863,,,49,1,"Đường 46, Tỉnh Quảng Ninh",2018-06-20 12:07:20,2018-06-20 12:07:20,46':2A 'duong':1A 'ninh':5A 'quang':4A 'tinh':3A
2674899,,6764,454,41,1,"Xã Diễn Lộc, Huyện Diễn Châu, Tỉnh Nghệ An",2018-06-20 12:09:36,2018-06-20 12:09:36,"chau':6A 'dien':2A,5A 'huyen':4A 'loc':3A 'nghe':8A 'tinh':7A 'xa':1A"
2674900,4254,555,36,2,1,"Đường Yên Vĩnh, Xã Sơn Đồng, Huyện Hoài Đức, Thành phố Hà Nội",2018-06-20 12:11:21,2018-06-20 12:11:21,dong':6A 'duc':9A 'duong':1A 'ha':12A 'hoai':8A 'huyen':7A 'noi':13A 'pho':11A 'son':5A 'thanh':10A 'vinh':3A 'xa':4A 'yen':2A
2674902,4411,566,37,2,1,"Đường Phan Bội Châu, Phường Hàng Bạc, Quận Hoàn Kiếm, Thành phố Hà Nội",2018-06-20 12:13:56,2018-06-20 12:13:56,bac':7A 'boi':3A 'chau':4A 'duong':1A 'ha':13A 'hang':6A 'hoan':9A 'kiem':10A 'noi':14A 'phan':2A 'pho':12A 'phuong':5A 'quan':8A 'thanh':11A
2674903,,2481,166,14,1,"Xã Hoài Phú, Huyện Hoài Nhơn, Tỉnh Bình Định",2018-06-20 12:14:56,2018-06-20 12:14:56,"binh':8A 'dinh':9A 'hoai':2A,5A 'huyen':4A 'nhon':6A 'phu':3A 'tinh':7A 'xa':1A"
2674904,2642,251,19,1,1,"Đường Lê Thị Hoa, Phường Linh Xuân, Quận Thủ Đức, Thành phố Hồ Chí Minh",2018-06-20 12:17:32,2018-06-20 12:17:32,chi':14A 'duc':10A 'duong':1A 'ho':13A 'hoa':4A 'le':2A 'linh':6A 'minh':15A 'pho':12A 'phuong':5A 'quan':8A 'thanh':11A 'thi':3A 'thu':9A 'xuan':7A
2674905,2062,226,17,1,1,"Đường Bùi Thế Mỹ, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh",2018-06-20 12:17:57,2018-06-20 12:17:57,4':6A 'binh':9A 'bui':2A 'chi':13A 'duong':1A 'ho':12A 'minh':14A 'pho':11A 'phuong':5A 'quan':7A 'tan':8A 'thanh':10A
2674906,2858,261,20,1,1,"Đường Triệu Quang Phục, Phường 15, Quận 5, Thành phố Hồ Chí Minh",2018-06-20 12:18:28,2018-06-20 12:18:28,15':6A '5':8A 'chi':12A 'duong':1A 'ho':11A 'minh':13A 'pho':10A 'phuc':4A 'phuong':5A 'quan':7A 'quang':3A 'thanh':9A 'trieu':2A
2674908,4025,518,34,2,1,"Đường La Dương, Phường Vạn Phúc, Quận Hà Đông, Thành phố Hà Nội",2018-06-20 12:18:53,2018-06-20 12:18:53,"dong':9A 'duong':1A,3A 'ha':8A,12A 'la':2A 'noi':13A 'pho':11A 'phuc':6A 'phuong':4A 'quan':7A 'thanh':10A 'van':5A"
2674910,3066,285,22,1,1,"Đường 27, Phường Phú Thuận, Quận 7, Thành phố Hồ Chí Minh",2018-06-20 12:22:07,2018-06-20 12:22:07,27':2A '7':7A 'chi':11A 'duong':1A 'ho':10A 'minh':12A 'pho':9A 'phu':4A 'phuong':3A 'quan':6A 'thanh':8A 'thuan':5A
2674911,598,65,5,1,1,"Đường Hương Lộ 6, Xã Tân Thạnh Đông, Huyện Củ Chi, Thành phố Hồ Chí Minh",2018-06-20 12:23:20,2018-06-20 12:23:20,"6':4A 'chi':11A,15A 'cu':10A 'dong':8A 'duong':1A 'ho':14A 'huong':2A 'huyen':9A 'lo':3A 'minh':16A 'pho':13A 'tan':6A 'thanh':7A,12A 'xa':5A"
2674912,6893,1052,69,4,1,"Đường Trương Định, Phường Thọ Quang, Quận Sơn Trà, Thành phố Đà Nẵng",2018-06-20 12:23:26,2018-06-20 12:23:26,da':12A 'dinh':3A 'duong':1A 'nang':13A 'pho':11A 'phuong':4A 'quan':7A 'quang':6A 'son':8A 'thanh':10A 'tho':5A 'tra':9A 'truong':2A
2674919,13666,8035,525,47,1,"Đường Điện Biên Phủ, Xã Cẩm Thanh, Thành phố Hội An, Tỉnh Quảng Nam",2018-06-20 12:31:03,2018-06-20 12:31:03,"bien':3A 'cam':6A 'dien':2A 'duong':1A 'hoi':10A 'nam':14A 'pho':9A 'phu':4A 'quang':13A 'thanh':7A,8A 'tinh':12A 'xa':5A"
639361,,2641,,15,1,"Xã Phú Văn, Tỉnh Bình Phước",2016-06-21 11:34:48,2016-08-10 3:10:19,binh':5A 'phu':2A 'phuoc':6A 'tinh':4A 'van':3A 'xa':1A
2674920,4869,782,49,2,1,"Đường Tỉnh lộ 419, Xã Bình Yên, Huyện Thạch Thất, Thành phố Hà Nội",2018-06-20 12:31:36,2018-06-20 12:31:36,419':4A 'binh':6A 'duong':1A 'ha':13A 'huyen':8A 'lo':3A 'noi':14A 'pho':12A 'thach':9A 'thanh':11A 'tinh':2A 'xa':5A 'yen':7A
2674921,,362,,49,1,"Xã Tiên Phong, Tỉnh Quảng Ninh",2018-06-20 12:31:51,2018-06-20 12:31:51,ninh':6A 'phong':3A 'quang':5A 'tien':2A 'tinh':4A 'xa':1A
2674926,2339,242,18,1,1,"Đường Dương Văn Dương, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh",2018-06-20 12:36:43,2018-06-20 12:36:43,"chi':14A 'duong':1A,2A,4A 'ho':13A 'minh':15A 'pho':12A 'phu':10A 'phuong':5A 'quan':8A 'tan':9A 'tay':6A 'thanh':7A,11A 'van':3A"
2674927,11872,5547,372,33,1,"Phố Lương Định Của, Xã Vĩnh Trung, Thành phố Nha Trang, Tỉnh Khánh Hòa",2018-06-20 12:37:08,2018-06-20 12:37:08,"cua':4A 'dinh':3A 'hoa':14A 'khanh':13A 'luong':2A 'nha':10A 'pho':1A,9A 'thanh':8A 'tinh':12A 'trang':11A 'trung':7A 'vinh':6A 'xa':5A"
2674928,492,44,3,1,1,"Đường Vũ Tùng, Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh",2018-06-20 12:38:28,2018-06-20 12:38:28,"5':5A 'binh':7A 'chi':12A 'duong':1A 'ho':11A 'minh':13A 'pho':10A 'phuong':4A 'quan':6A 'thanh':8A,9A 'tung':3A 'vu':2A"
2674845,498,39,3,1,1,"Đường 13, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh",2018-06-12 3:40:05,2018-06-12 3:40:05,"13':2A '25':4A 'binh':6A 'chi':11A 'duong':1A 'ho':10A 'minh':12A 'pho':9A 'phuong':3A 'quan':5A 'thanh':7A,8A"
2674853,619,67,5,1,1,"Đường Nguyễn Kim Cương, Xã Tân Thông Hội, Huyện Củ Chi, Thành phố Hồ Chí Minh",2018-06-13 2:26:28,2018-06-13 2:26:28,"chi':11A,15A 'cu':10A 'cuong':4A 'duong':1A 'ho':14A 'hoi':8A 'huyen':9A 'kim':3A 'minh':16A 'nguyen':2A 'pho':13A 'tan':6A 'thanh':12A 'thong':7A 'xa':5A"
2674854,8291,1551,108,7,1,"Đường Quốc Lộ 51, Phường Thắng Nhất, Thành phố Vũng Tàu, Tỉnh Bà Rịa Vũng Tàu",2018-06-13 2:37:47,2018-06-13 2:37:47,"51':4A 'ba':13A 'duong':1A 'lo':3A 'nhat':7A 'pho':9A 'phuong':5A 'quoc':2A 'ria':14A 'tau':11A,16A 'thang':6A 'thanh':8A 'tinh':12A 'vung':10A,15A"
2674856,4679,653,42,2,1,"Đường Lê Duy Hiến, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành phố Hà Nội",2018-06-13 3:55:02,2018-06-13 3:55:02,1':8A 'dinh':7A 'duong':1A 'duy':3A 'ha':15A 'hien':4A 'le':2A 'liem':12A 'nam':10A 'noi':16A 'pho':14A 'phuong':5A 'quan':9A 'thanh':13A 'tu':11A
2674862,10481,3624,258,23,1,"Đường 28, Phường Long Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai",2018-06-14 2:09:38,2018-06-14 2:09:38,28':2A 'bien':8A 'binh':5A 'dong':11A 'duong':1A 'hoa':9A 'long':4A 'nai':12A 'pho':7A 'phuong':3A 'thanh':6A 'tinh':10A
2674863,11026,4157,297,25,1,"Đường Nguyễn Hữu Huân, Phường Tây Sơn, Thành phố Plei Ku, Tỉnh Gia Lai",2018-06-14 2:16:06,2018-06-14 2:16:06,duong':1A 'gia':13A 'huan':4A 'huu':3A 'ku':11A 'lai':14A 'nguyen':2A 'pho':9A 'phuong':5A 'plei':10A 'son':7A 'tay':6A 'thanh':8A 'tinh':12A
2674864,4998,923,56,3,1,"Đường Huyện lộ 604, Phường Mỹ Phước, Thị xã Bến Cát, Tỉnh Bình Dương",2018-06-14 3:52:41,2018-06-14 3:52:41,"604':4A 'ben':10A 'binh':13A 'cat':11A 'duong':1A,14A 'huyen':2A 'lo':3A 'phuoc':7A 'phuong':5A 'thi':8A 'tinh':12A 'xa':9A"
2674867,13641,7815,512,46,1,"Đường Vũ Trọng Phụng, Phường Đồng Phú, Thành phố Đồng Hới, Tỉnh Quảng Bình",2018-06-15 1:44:53,2018-06-15 1:44:53,"binh':14A 'dong':6A,10A 'duong':1A 'hoi':11A 'pho':9A 'phu':7A 'phung':4A 'phuong':5A 'quang':13A 'thanh':8A 'tinh':12A 'trong':3A 'vu':2A"
2674869,619,71,5,1,1,"Đường Nguyễn Kim Cương, Xã Bình Mỹ, Huyện Củ Chi, Thành phố Hồ Chí Minh",2018-06-15 8:03:02,2018-06-15 8:03:02,"binh':6A 'chi':10A,14A 'cu':9A 'cuong':4A 'duong':1A 'ho':13A 'huyen':8A 'kim':3A 'minh':15A 'nguyen':2A 'pho':12A 'thanh':11A 'xa':5A"
2674871,1947,188,15,1,1,"Đường Trần Minh Quyền, Phường 1, Quận 3, Thành phố Hồ Chí Minh",2018-06-16 0:26:07,2018-06-16 0:26:07,"1':6A '3':8A 'chi':12A 'duong':1A 'ho':11A 'minh':3A,13A 'pho':10A 'phuong':5A 'quan':7A 'quyen':4A 'thanh':9A 'tran':2A"
2674872,8093,,106,7,1,"Đường Trần Xuân Độ, Huyện Long Điền, Tỉnh Bà Rịa Vũng Tàu",2018-06-16 1:26:37,2018-06-16 1:26:37,ba':9A 'dien':7A 'duong':1A 'huyen':5A 'long':6A 'ria':10A 'tau':12A 'tinh':8A 'tran':2A 'vung':11A 'xuan':3A
2674874,10538,3627,258,23,1,"Đường Nguyễn Khuyến, Xã Phước Tân, Thành phố Biên Hòa, Tỉnh Đồng Nai",2018-06-16 2:15:09,2018-06-16 2:15:09,bien':9A 'dong':12A 'duong':1A 'hoa':10A 'khuyen':3A 'nai':13A 'nguyen':2A 'pho':8A 'phuoc':5A 'tan':6A 'thanh':7A 'tinh':11A 'xa':4A
2674875,5513,1000,62,3,1,"Đường Bình Chuẩn 31, Phường Bình Hòa, Thị xã Thuận An, Tỉnh Bình Dương",2018-06-16 3:20:38,2018-06-16 3:20:38,"31':4A 'binh':2A,6A,13A 'chuan':3A 'duong':1A,14A 'hoa':7A 'phuong':5A 'thi':8A 'thuan':10A 'tinh':12A 'xa':9A"
2674876,5523,997,62,3,1,"Đường Bình Nhâm, Phường An Phú, Thị xã Thuận An, Tỉnh Bình Dương",2018-06-16 3:55:58,2018-06-16 3:55:58,"binh':2A,12A 'duong':1A,13A 'nham':3A 'phu':6A 'phuong':4A 'thi':7A 'thuan':9A 'tinh':11A 'xa':8A"
2674878,775,81,6,1,1,"Đường Thạnh Xuân 21, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh",2018-06-16 15:42:03,2018-06-16 15:42:03,"15':6A '21':4A 'chi':13A 'duong':1A 'go':8A 'ho':12A 'minh':14A 'pho':11A 'phuong':5A 'quan':7A 'thanh':2A,10A 'vap':9A 'xuan':3A"
2674880,6812,1046,69,4,1,"Đường Nguyễn Trực, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng",2018-06-17 7:09:31,2018-06-17 7:09:31,bac':7A 'da':13A 'duong':1A 'hai':6A 'nang':14A 'nguyen':2A 'pho':12A 'phuong':4A 'quan':8A 'son':9A 'thanh':11A 'tra':10A 'truc':3A
2674881,13692,8038,525,47,1,"Đường Ngô Sĩ Liên, Phường Sơn Phong, Thành phố Hội An, Tỉnh Quảng Nam",2018-06-17 7:17:54,2018-06-17 7:17:54,duong':1A 'hoi':10A 'lien':4A 'nam':14A 'ngo':2A 'pho':9A 'phong':7A 'phuong':5A 'quang':13A 'si':3A 'son':6A 'thanh':8A 'tinh':12A
2674883,9596,2650,178,15,1,"Đường ĐT 741, Xã Nha Bích, Huyện Chơn Thành, Tỉnh Bình Phước",2018-06-17 17:30:08,2018-06-17 17:30:08,741':3A 'bich':6A 'binh':11A 'chon':8A 'dt':2A 'duong':1A 'huyen':7A 'nha':5A 'phuoc':12A 'thanh':9A 'tinh':10A 'xa':4A
2674884,11119,4441,312,27,1,"Đường Phạm Tất Đắc, Thị trấn Vĩnh Trụ, Huyện Lý Nhân, Tỉnh Hà Nam",2018-06-17 17:31:12,2018-06-17 17:31:12,dac':4A 'duong':1A 'ha':13A 'huyen':9A 'ly':10A 'nam':14A 'nhan':11A 'pham':2A 'tat':3A 'thi':5A 'tinh':12A 'tran':6A 'tru':8A 'vinh':7A
2674891,4880,830,51,2,1,"Đường Chiến Thắng, Xã Ngọc Hồi, Huyện Thanh Trì, Thành phố Hà Nội",2018-06-20 12:05:47,2018-06-20 12:05:47,"chien':2A 'duong':1A 'ha':12A 'hoi':6A 'huyen':7A 'ngoc':5A 'noi':13A 'pho':11A 'thang':3A 'thanh':8A,10A 'tri':9A 'xa':4A"
2674984,9933,2953,204,18,1,"Đường Nguyễn Văn Linh, Phường An Thới, Quận Bình Thủy, Thành phố Cần Thơ",2018-06-20 17:40:19,2018-06-20 17:40:19,binh':9A 'duong':1A 'linh':4A 'nguyen':2A 'pho':12A 'phuong':5A 'quan':8A 'thanh':11A 'tho':14A 'thoi':7A 'thuy':10A 'van':3A
